"","X","gradu","skilled","income","net_in_ra","net_in","X20_net_in","X20_net_in_ra","연도","V10","Network"
"101","장수군2010",0.0866726,0.035797,21300907,0.011673651,273,-651,-0.133060807,2010,0.0865860072,-1.07463374890708
"102","임실군2010",0.0784651,0.0362662,22845978,-0.009021672,-276,-894,-0.140621313,2010,0.0811150291,-1.13849534813826
"103","순창군2010",0.0873412,0.0433268,20074183,0.031811712,961,-561,-0.088632593,2010,0.092382276,-1.0069750984106
"104","고창군2010",0.0933436,0.0475208,21088990,0.019585613,1192,-1581,-0.128192654,2010,0.0995911308,-0.922827622815074
"105","부안군2010",0.1042436,0.0477604,18951029,-0.027919119,-1679,-2245,-0.173876002,2010,0.107466828,-0.830896233389015
"106","목포시2010",0.2273974,0.0981074,14362046,-0.051356439,-12604,-6865,-0.092811032,2010,0.2301318936,0.600947783499634
"107","여수시2010",0.1864989,0.0916607,89973055,-0.028318023,-8311,-5674,-0.071132172,2010,0.1966588372,0.210223698374975
"108","순천시2010",0.2330353,0.1065539,18323857,0.009907564,2701,-2563,-0.035080996,2010,0.2400895644,0.717181621450044
"109","나주시2010",0.1351467,0.0482498,29425209,0.005759116,519,-831,-0.040183752,2010,0.1296613255,-0.571824440635455
"110","광양시2010",0.1816642,0.0908916,63768177,0.016802738,2445,1796,0.044628325,2010,0.1926969506,0.163977413044644
"111","담양군2010",0.114892,0.043483,22004895,0.00251004,120,-1348,-0.124913126,2010,0.111971125,-0.77831850330594
"112","곡성군2010",0.0673475,0.0323553,34069529,-0.016621715,-530,-1254,-0.20001595,2010,0.0704898796,-1.2625205273179
"113","구례군2010",0.0895476,0.0451841,15434009,0.008694064,238,-773,-0.139518094,2010,0.0952553119,-0.973438742777478
"114","고흥군2010",0.0552933,0.0375754,15306260,-0.033710297,-2492,-3093,-0.236802817,2010,0.0656581709,-1.31892006666192
"115","보성군2010",0.0709809,0.0376599,16186301,-0.053840794,-2627,-2110,-0.219072834,2010,0.0768090456,-1.1887582056286
"116","화순군2010",0.164182,0.0718503,21034814,-0.041733941,-2895,-2400,-0.14231921,2010,0.1668748361,-0.13743880492572
"117","장흥군2010",0.0812845,0.0480083,16804642,0.050172194,2127,-145,-0.01792004,2010,0.0914100096,-1.0183241636139
"118","강진군2010",0.0855444,0.0416807,15907625,-0.028565251,-1189,-993,-0.117674942,2010,0.0899481457,-1.03538819947841
"119","해남군2010",0.0818969,0.0533139,21119755,-0.047889519,-3811,-2552,-0.153333133,2010,0.0955940356,-0.969484890873098
"120","영암군2010",0.1254289,0.0428538,52854049,-0.039862188,-2395,-1321,-0.08757624,2010,0.1189758689,-0.696553572157912
"121","무안군2010",0.2015386,0.070632,25762323,0.120187983,8951,2381,0.132332916,2010,0.1924246142,0.160798486403928
"122","함평군2010",0.0771959,0.026439,19417089,-0.037027955,-1359,-1318,-0.184982456,2010,0.0732698743,-1.23007022242704
"123","영광군2010",0.1025006,0.0493388,37797253,-0.004462885,-256,-978,-0.076564763,2010,0.1073504558,-0.83225462208336
"124","장성군2010",0.1305272,0.0366557,32434428,-2.15e-05,-1,-1039,-0.096678143,2010,0.1181983103,-0.705629853361078
"125","완도군2010",0.0814637,0.0454141,15720577,-0.011056036,-600,-835,-0.07557587,2010,0.0897026046,-1.03825435010748
"126","진도군2010",0.0755538,0.0447443,17104733,-0.017662923,-596,-779,-0.120095583,2010,0.0850507567,-1.09255441142087
"127","신안군2010",0.0573158,0.0374719,17676719,-0.014836665,-674,-1305,-0.144167035,2010,0.0670149039,-1.30308320211484
"128","포항시2010",0.2055087,0.0955445,36317749,-0.00582413,-2998,-4468,-0.030877251,2010,0.2128446124,0.399156914735026
"129","경주시2010",0.2099981,0.0818025,28966426,-0.029225228,-7806,-6834,-0.096742,2010,0.2063030242,0.322798304569171
"130","김천시2010",0.1462389,0.0731194,21116827,-0.007536581,-1026,-3061,-0.08911727,2010,0.1550863181,-0.275043744716207
"131","안동시2010",0.1967834,0.0900093,16452592,-0.001155546,-194,-2356,-0.055119492,2010,0.2027624389,0.281469782440301
"132","구미시2010",0.2001247,0.0995994,72183523,0.008522671,3451,4955,0.035147702,2010,0.2119049387,0.388188297398122
"133","영주시2010",0.1640088,0.063306,19407383,-0.020425539,-2327,-3563,-0.13381657,2010,0.1607115636,-0.20938141393517
"134","영천시2010",0.1232621,0.0509892,23243160,-0.024614788,-2540,-3143,-0.126116004,2010,0.1231956691,-0.647296714557247
"135","상주시2010",0.1601887,0.0658175,17326663,-0.016618217,-1755,-4042,-0.175004871,2010,0.1597863834,-0.220180851635172
"136","문경시2010",0.1248767,0.0649205,19021636,-0.004496647,-348,-2346,-0.134360414,2010,0.1341866204,-0.519001606395502
"137","경산시2010",0.3113596,0.0859707,23249230,0.04141117,9968,3801,0.051557159,2010,0.2809125221,1.19369958888056
"138","군위군2010",0.070139,0.0363825,22444620,0.003719276,92,-707,-0.15991857,2010,0.0753107005,-1.20624807901819
"139","의성군2010",0.0667746,0.0288277,18418493,-0.030867555,-1816,-2711,-0.251274446,2010,0.0675908261,-1.29636058103092
"140","청송군2010",0.0982515,0.0338144,16750082,0.009283174,248,-797,-0.158559634,2010,0.0933705913,-0.995438697706918
"141","영양군2010",0.0740292,0.0379568,19891644,0.009159395,169,-508,-0.14692697,2010,0.079174102,-1.16115138995227
"142","영덕군2010",0.0764122,0.0386212,15088970,-0.027696546,-1146,-1426,-0.179517845,2010,0.0813286138,-1.13600221797689
"143","청도군2010",0.1025834,0.0402407,18195113,0.028834674,1280,-1531,-0.17075619,2010,0.1009766387,-0.906654874793758
"144","고령군2010",0.0975601,0.0447871,29432454,0.023184728,804,-522,-0.06577621,2010,0.1006394704,-0.910590570834666
"145","성주군2010",0.0759244,0.0297791,24111646,0.000750734,34,-1339,-0.138684619,2010,0.0747323745,-1.21299875916384
"146","칠곡군2010",0.1456238,0.0755347,24637904,0.000361081,43,174,0.004302937,2010,0.1563590595,-0.260187296796642
"147","예천군2010",0.0862584,0.0432072,18086251,-0.019086484,-898,-1930,-0.209214092,2010,0.0915321792,-1.01689810306479
"148","봉화군2010",0.0864795,0.0475781,24040264,0.006306593,218,-1024,-0.1556231,2010,0.0947787232,-0.97900186439873
"149","울진군2010",0.1330444,0.0712791,31474621,0.004310509,226,-757,-0.0658404,2010,0.1444567145,-0.399120915686701
"150","울릉군2010",0.1307918,0.0791789,21615270,-0.011961499,-128,-154,-0.058633162,2010,0.1484492849,-0.352516464686051
"151","진주시2010",0.2887891,0.1132346,17545536,0.004175658,1399,-3823,-0.040459736,2010,0.2842307559,1.2324326477994
"152","통영시2010",0.1513735,0.0776241,26834047,-0.014676009,-2059,-2080,-0.050773812,2010,0.1619013032,-0.195493828911815
"153","사천시2010",0.1712999,0.0818278,28558730,0.014104496,1610,-356,-0.011344083,2010,0.1789612839,0.00364380798625619
"154","김해시2010",0.2408468,0.1084897,22870520,0.028103817,14146,10544,0.069619647,2010,0.2469809055,0.797622825097627
"155","밀양시2010",0.1635488,0.0657958,18170090,-0.010463527,-1156,-3966,-0.15363161,2010,0.1621466322,-0.192630154082302
"156","거제시2010",0.1744986,0.1136594,48712965,0.040086707,9154,9268,0.119920553,2010,0.203727706,0.292737146257978
"157","양산시2010",0.2166993,0.095615,31088367,0.122091616,31773,13102,0.169765604,2010,0.2208062101,0.492091002984675
"158","창원시2010",0.2454255,0.1088325,33487903,-0.039977765,-43583,-17718,-0.053169047,2010,0.250460406,0.838238316951944
"159","의령군2010",0.0821459,0.037323,22231758,-0.014223195,-429,-1043,-0.172596393,2010,0.0844645123,-1.09939752141693
"160","함안군2010",0.1491476,0.0651081,39658184,0.027348342,1838,-706,-0.041791221,2010,0.1514787799,-0.317153794240913
"161","창녕군2010",0.0922149,0.0481948,25350814,0.057296562,3536,-381,-0.02939588,2010,0.0992696579,-0.926580109688214
"162","고성군2010",0.1642345,0.0431814,63936737,0.010195271,307,-230,-0.031362924,2010,0.1466430413,-0.373600373776655
"163","남해군2010",0.0874076,0.0484285,14666928,-0.032050762,-1581,-2470,-0.262444881,2010,0.0960361227,-0.964324499314325
"164","하동군2010",0.0996662,0.0411742,29594517,-0.028985226,-1493,-2489,-0.225780116,2010,0.0995741628,-0.923025686780228
"165","산청군2010",0.0963771,0.0349631,17859600,0.047933466,1706,-763,-0.114016736,2010,0.0928575214,-1.00142765685325
"166","함양군2010",0.1008909,0.0496853,18484783,0.020317013,837,-960,-0.11988012,2010,0.1064573734,-0.842679388782613
"167","거창군2010",0.1225359,0.0592209,21124866,0.010375112,658,-1853,-0.132627134,2010,0.1285020576,-0.585356335788055
"168","합천군2010",0.0837061,0.0433441,15809183,-0.014601112,-746,-2214,-0.220232766,2010,0.0898244914,-1.03683159062446
"169","제주시2010",0.2462045,0.1157636,20845823,0.054974505,22954,8065,0.068028072,2010,0.2559114467,0.901867191024071
"170","서귀포시2010",0.1487114,0.0738682,23889628,0.023660517,3637,-1030,-0.025988772,2010,0.1573637772,-0.248459434259982
"180","서울특별시2015",0.3460704,0.1684128,36934861,-0.053463113,-535817,-44805,-0.01437936,2015,0.3637396224,1.82066299896888
"181","부산광역시2015",0.2824812,0.1037971,23536353,-0.032290894,-113463,-55436,-0.058383583,2015,0.2730987581,0.728069292735497
"182","대구광역시2015",0.267813,0.113815,20830215,-0.028961396,-72051,-36859,-0.05504942,2015,0.269810996,0.68843829179796
"183","인천광역시2015",0.2353562,0.1158963,27389806,0.003842006,11241,9470,0.011108127,2015,0.2483355175,0.429570806049037
"184","광주광역시2015",0.3175287,0.1259646,23669075,-0.024031398,-35379,-22903,-0.054474727,2015,0.3135497631,1.21566960210076
"185","대전광역시2015",0.3121599,0.1447197,24468808,-0.051697585,-78517,-26584,-0.06027619,2015,0.3230138772,1.32975094477762
"186","울산광역시2015",0.2413317,0.1044464,62081209,-0.03616853,-42445,-20677,-0.061251211,2015,0.2444651167,0.382916622118439
"187","수원시2015",0.3763489,0.1687181,26137640,-0.007949358,-9417,7697,0.02044117,2015,0.385362369,2.08130566857589
"188","성남시2015",0.435132,0.1783733,38796275,-0.052064804,-50577,-10854,-0.037002756,2015,0.4337482471,2.66455370235082
"189","의정부시2015",0.2546729,0.1071138,12814982,0.039819144,17279,6660,0.056670723,2015,0.2557831969,0.519345850686205
"190","안양시2015",0.3837354,0.1634398,25970751,-0.075929801,-45390,-15106,-0.085225942,2015,0.3868528664,2.09927226775799
"191","부천시2015",0.2900912,0.1353331,18649473,-0.046256303,-39271,-15166,-0.05843753,2015,0.3007749801,1.06168113771343
"192","광명시2015",0.3192633,0.1380989,20325342,-0.11130275,-38397,-12096,-0.117999971,2015,0.3233550754,1.33386378073496
"193","평택시2015",0.2382358,0.0916957,53276802,0.117635691,54175,25905,0.200848985,2015,0.2332615705,0.247867997415343
"194","동두천시2015",0.1705857,0.0837707,19088064,-0.024465675,-2397,-2171,-0.088697322,2015,0.1798299748,-0.396201602170617
"195","안산시2015",0.242031,0.1058782,33971707,-0.097862828,-68297,-26574,-0.125915081,2015,0.2459718044,0.40107838073573
"196","고양시2015",0.4119239,0.1580647,16627202,0.045518157,46772,19014,0.067767976,2015,0.4029819402,2.29369367643882
"197","과천시2015",0.5865732,0.1981696,63507368,-0.184970847,-12753,-3555,-0.192797874,2015,0.5548131596,4.12388181516974
"198","구리시2015",0.3252177,0.1327965,16223697,0.051108338,9543,3857,0.073575278,2015,0.3238160394,1.33942028517796
"199","남양주시2015",0.3001115,0.1266139,12856235,0.086024418,56213,17384,0.100322887,2015,0.3016948578,1.0727694320858
"200","오산시2015",0.2638356,0.1150394,21637240,0.051279324,10606,8935,0.129927729,2015,0.267864625,0.664976548344624
"201","시흥시2015",0.2179145,0.0986144,34941882,0.174955305,69677,29831,0.259413535,2015,0.2237859323,0.133647742127414
"202","군포시2015",0.3807758,0.1585855,21180559,-0.070204056,-20185,-6470,-0.074462392,2015,0.3813284391,2.0326802891274
"203","의왕시2015",0.4027639,0.1669784,19324566,0.002054013,324,-909,-0.019829843,2015,0.4028078061,2.29159464722975
"204","하남시2015",0.3020307,0.1169695,28961509,0.714023501,119037,45403,1.025650873,2015,0.2962331414,1.00693337668235
"205","용인시2015",0.4855471,0.1836904,29379937,0.080899127,78937,38186,0.142169967,2015,0.4731509125,3.1395172252313
"206","파주시2015",0.2740297,0.1179362,42474115,0.083338648,35279,15234,0.128444776,2015,0.2771198913,0.776540419529973
"207","이천시2015",0.2122025,0.1112671,70355908,0.037338668,7652,4358,0.076084395,2015,0.2286930072,0.192798095482504
"208","안성시2015",0.251707,0.0869898,43142953,0.004705908,848,-1310,-0.02728172,2015,0.2394586376,0.322568040964751
"209","김포시2015",0.3390221,0.1309641,29395906,0.248001371,86798,37534,0.386205903,2015,0.3322802434,1.44144861522639
"210","화성시2015",0.3202892,0.1489769,79704898,0.418027744,249364,118256,0.692545775,2015,0.3317711327,1.43531174582547
"211","광주시2015",0.2700367,0.1194157,25087197,0.209172721,65383,25901,0.292090736,2015,0.2753428468,0.755119754012371
"212","양주시2015",0.2119788,0.0899541,27041295,0.089388061,18341,5332,0.103428544,2015,0.2134665603,0.00925703836973881
