연도,사업,경제성 평가 비중,정책성 평가 비중,지역균형발전 비중,지역낙후도 평가 비중,B/C,AHP,시기
2009,서대전 연화 확장사업,0.468,0.326,0.205,0.137,0.904,0.465,개정1
2009,명지지구 간선도로 건설사업,0.500,0.350,0.150,0.100,0.872,0.501,개정1
2009,동두천 연천 복선전철화 사업,0.442,0.318,0.241,0.160,0.890,0.564,개정1
2009,한국미래 농업단지 조정사업,0.475,0.317,0.208,0.139,0.440,0.322,개정1
2009,임진강수계 농촌용수공급대책 사업,0.450,0.330,0.219,0.146,1.030,0.565,개정1
2009,동북아 오일허브 울산지역사업,0.493,0.325,0.182,0.122,1.170,0.626,개정1
2009,대구텍스타일 콤플렉스 건립사업,0.459,0.334,0.206,0.138,2.400,0.645,개정1
2009,새만금 풍력산업 클러스터 조성사업,0.482,0.298,0.219,0.146,1.260,0.609,개정1
2009,국가식품 클러스터 조성사업,0.469,0.335,0.196,0.131,0.950,0.524,개정1
2009,남강댐 재개발 사업 부산경남 상수도사업,0.442,0.342,0.216,0.144,0.954,0.527,개정1
2009,포항영일신항 인입철도,0.491,0.339,0.171,0.114,0.320,0.259,개정1
2009,대암댐 대체저류지 및 도수관로 건설,0.491,0.339,0.171,0.114,0.320,0.259,개정1
2009,울산신항 인입철도,0.442,0.342,0.216,0.144,0.910,0.514,개정1
2009,금강살리기 군수지구 생태하천조성사업,0.443,0.325,0.232,0.155,0.920,0.518,개정1
2009,낙동강살리기 동촌지구,0.476,0.292,0.232,0.155,2.040,0.632,개정1
2009,북한강살리기 하중도지구,0.434,0.326,0.240,0.160,3.460,0.708,개정1
2009,낙동강살리기 감전 엄궁지구,0.468,0.320,0.212,0.141,1.190,0.601,개정1
2009,금강살리기 세도지구,0.451,0.343,0.206,0.138,1.630,0.690,개정1
2009,포항 삼척 간 고속도로 건설사업,0.443,0.310,0.247,0.165,0.210,0.450,개정1
2009,낙동강살리기 자전거도로 설치사업,0.454,0.326,0.220,0.147,0.940,0.508,개정1
2009,낙동강살리기 금호지구,0.459,0.316,0.225,0.150,1.076,0.579,개정1
2009,경주시계 울산신답교 광역도로 확장사업,0.471,0.290,0.238,0.159,0.960,0.469,개정1
2010,사상 하단 간 도시철도 건설사업,0.435,0.344,0.221,0.148,0.872,0.503,개정1
2010,녹색환경산업복합단지 조성사업,0.474,0.340,0.186,0.124,1.310,0.634,개정1
2010,식만 사상 간 도시권 혼잡도로 건설사업,0.492,0.300,0.208,0.139,1.200,0.608,개정1
2010,중산동 운복동 간 영종 순환도로 개설사업,0.458,0.309,0.233,0.155,0.470,0.341,개정1
2010,부산항 신항 신규 준설토 투기장 호안축조사업,0.476,0.333,0.191,0.127,2.760,0.696,개정1
2010,부산항 신항 신규 준설토 투기장 호안축조사업2,0.476,0.333,0.191,0.127,0.730,0.434,개정1
2010,국립 부산과학관 건립사업,0.451,0.343,0.206,0.138,1.200,0.595,개정1
2010,경상대학교병원 분원 건립사업,0.443,0.335,0.222,0.148,1.068,0.538,개정1
2010,중앙선 도담 영천 철도 건설사업,0.423,0.320,0.257,0.171,0.800,0.557,개정1
2010,국도20호선 신안 생비량 도로 건설사업,0.434,0.299,0.267,0.178,0.770,0.523,개정1
2010,춘천 속초 복선전철 건설사업,0.450,0.300,0.250,0.166,0.730,0.488,개정1
2010,농업용저수지 둑높임사업,0.443,0.293,0.264,0.176,3.248,0.733,개정1
2010,영산강 유역 농업용 저수지 둑높임 사업,0.443,0.293,0.264,0.176,3.248,0.733,개정1
2010,애월항 2단계 개발사업,0.458,0.309,0.233,0.155,1.260,0.618,개정1
2010,철도종합시험선로 구축사업,0.447,0.350,0.203,0.135,0.809,0.517,개정1
2010,공익근무요원 교육원 설립사업,0.484,0.291,0.225,0.150,1.140,0.681,개정1
2010,울릉도 경비행장 건설사업,0.478,0.319,0.204,0.136,0.770,0.430,개정1
2010,HD 드라마타운 조성사업,0.434,0.344,0.222,0.148,1.380,0.555,개정1
2010,농식품 허브 물류센터 건립사업,0.436,0.334,0.230,0.153,2.170,0.578,개정1
2010,김제,0.494,0.300,0.206,0.138,0.580,0.411,개정1
2010,광주도시철도 2호선 건설사업,0.442,0.305,0.253,0.169,0.997,0.502,개정1
2010,이단적재열차 도입기반 구축사업,0.459,0.350,0.191,0.127,0.900,0.415,개정1
2010,국도31호선 청송 삼자현 터널 건설사업,0.449,0.316,0.235,0.157,0.890,0.582,개정1
2010,부산역 일반철도 부전역 이전사업,0.459,0.324,0.217,0.144,0.680,0.385,개정1
2010,송도국제도시 6 8 공구 간선도로 설치공사,0.451,0.335,0.214,0.143,0.840,0.420,개정1
2010,부산지하철 1호선 양산연장 건설사업,0.451,0.343,0.206,0.138,0.890,0.501,개정1
2010,첨단 유리온실 조성사업,0.470,0.350,0.180,0.120,0.857,0.480,개정1
2010,아트센터 건립사업,0.468,0.350,0.182,0.121,0.910,0.514,개정1
2010,대청댐계통 광역상수도 건설사업,0.484,0.308,0.208,0.139,3.110,0.706,개정1
2011,새마을운동 테마공원 조성사업,0.417,0.343,0.240,0.160,1.170,0.517,개정1
2011,창원 도시철도 건설사업,0.458,0.333,0.208,0.139,0.880,0.502,개정1
2011,수출용 신형 연구로 개발 및 실증사업,0.451,0.343,0.206,0.138,0.960,0.511,개정1
2011,권역외상센터 설립사업,0.458,0.326,0.216,0.144,0.440,0.321,개정1
2011,달산댐 건설사업 및 포항(Ⅱ)단계 공업용수도 건설사업,0.426,0.326,0.248,0.165,0.810,0.559,개정1
2011,영양댐 건설사업,0.470,0.310,0.220,0.147,0.930,0.579,개정1
2011,광주 제2컨벤션센터 건립사업,0.451,0.316,0.233,0.155,1.210,0.611,개정1
2011,우이~신설 연장선,0.470,0.310,0.220,0.147,0.970,0.516,개정1
2011,중부내륙선(김천~낙동) 고속도로 확장 건설사업,0.451,0.317,0.232,0.155,0.740,0.431,개정1
2011,대구사이언스파크 진입도로 건설사업,0.452,0.301,0.247,0.165,1.230,0.644,개정1
2011,울산신항 북측안벽(3선석) 축조사업,0.476,0.300,0.223,0.149,0.890,0.437,개정1
2011,울산·미포 국가산단진입도로(오토벨리로) 개설사업,0.484,0.317,0.199,0.132,1.110,0.582,개정1
2011,통합물류센터 건립지원사업,0.461,0.335,0.204,0.136,0.474,0.315,개정1
2011,함정용 드라이도크 신축사업,0.437,0.348,0.215,0.143,0.170,0.172,개정1
2011,오송～청주국제공항 연결도로사업,0.433,0.334,0.233,0.155,1.270,0.662,개정1
2011,조치원 연결도로 확장 건설사업,0.451,0.308,0.241,0.160,1.030,0.602,개정1
2011,폐광지역 경제자립형 개발사업 제Ⅰ부,0.417,0.283,0.300,0.200,1.270,0.674,개정1
2011,제주 돌문화공원 관광지 개발사업,0.475,0.317,0.208,0.139,1.360,0.649,개정1
