,gradu2010,skilled2010,manu2010,service2010,enov2010,young2010,V7,V8
127,0.148187083,0.077039035,0.080460802,0.25299222,0.025523639,0.78,0.784612796,0.784612796
128,0.403925526,0.111529405,0.233168221,0.318205717,0.042809309,0.88,1.150603792,1.150603792
129,0.085276216,0.044234543,0.046622882,0.15113922,0.014919322,0.68,0.59765378,0.59765378
130,0.088546081,0.038226818,0.040364665,0.111977366,0.014115058,0.68,0.574253786,0.574253786
131,0.127994215,0.04405074,0.021941444,0.163439984,0.014469126,0.71,0.636798867,0.636798867
132,0.098858632,0.050687517,0.022853794,0.150112316,0.017286844,0.7,0.607360247,0.607360247
133,0.098429485,0.04974947,0.056226032,0.213286713,0.036149335,0.71,0.667623201,0.667623201
134,0.126855794,0.049762101,0.069397246,0.148944733,0.016633876,0.72,0.6639148,0.6639148
135,0.116876819,0.053654881,0.168115942,0.171877891,0.023928461,0.77,0.758628426,0.758628426
136,0.081974292,0.032151991,0.06688916,0.143884554,0.015840933,0.76,0.649345091,0.649345091
137,0.159837078,0.082907049,0.403755699,0.222116095,0.026059219,0.89,1.030639752,1.030639752
138,0.116021038,0.058115357,0.053442794,0.142339732,0.02322025,0.7,0.63547851,0.63547851
139,0.114557112,0.06302541,0.065578432,0.164145148,0.017802298,0.72,0.665514261,0.665514261
140,0.161080706,0.086299697,0.049924422,0.241502915,0.034852084,0.77,0.7681089,0.7681089
141,0.118223989,0.071570577,0.079867987,0.278767877,0.028822882,0.82,0.801221521,0.801221521
142,0.340300024,0.133432138,0.121741914,0.364292671,0.049371028,0.88,1.07607066,1.07607066
143,0.161979662,0.083062881,0.252710718,0.26303567,0.043404895,0.88,0.963852229,0.963852229
144,0.196457014,0.093845098,0.204579025,0.255621205,0.029234367,0.84,0.931631758,0.931631758
145,0.258135985,0.116277572,0.314005713,0.292584938,0.050797706,0.93,1.120147609,1.120147609
146,0.187471538,0.075419892,0.103743112,0.25874554,0.03401102,0.8,0.840350473,0.840350473
147,0.191778803,0.124914785,0.513492214,0.221772331,0.043488501,0.93,1.154596803,1.154596803
148,0.23735936,0.10473092,0.328768241,0.305323018,0.039244674,0.91,1.103414852,1.103414852
149,0.262860331,0.116563879,0.302234,0.30902363,0.057018037,0.92,1.119981942,1.119981942
150,0.103496193,0.047023512,0.070686071,0.168322168,0.018788019,0.7,0.646188968,0.646188968
151,0.167106223,0.072947646,0.215305054,0.202507201,0.027428646,0.82,0.872006866,0.872006866
152,0.112983478,0.059049187,0.118344172,0.206021193,0.02244743,0.75,0.734167779,0.734167779
153,0.188178351,0.049476875,0.189462795,0.210189906,0.030333259,0.79,0.850157089,0.850157089
154,0.115058307,0.063748521,0.026852354,0.20230997,0.022224075,0.7,0.651950175,0.651950175
155,0.112589433,0.046513065,0.050690259,0.180535966,0.019831602,0.74,0.671909207,0.671909207
156,0.129032258,0.046809513,0.053620973,0.18753185,0.015967386,0.71,0.668968788,0.668968788
157,0.135636178,0.066796117,0.071898781,0.179093328,0.030300201,0.72,0.694099775,0.694099775
158,0.148722344,0.071876669,0.066509093,0.221029479,0.024883461,0.78,0.758981025,0.758981025
159,0.10655845,0.055177379,0.042025644,0.19095579,0.016260163,0.69,0.63932412,0.63932412
160,0.274769817,0.129194815,0.038789123,0.396798358,0.057183171,0.89,1.008098038,1.008098038
161,0.152695418,0.075847131,0.023614845,0.313506472,0.030641093,0.84,0.823928472,0.823928472
