"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"1024","064850","에프앤가이드",7690,-260,-3.27,"KOSDAQ","기타서비스",92895200000,459,16.75,NA,NA,4299,1.79,130,1.69
"1025","064960","SNT모티브",41850,-550,-1.3,"KOSPI","운수장비",611978241600,5787,7.23,6328,6.61,61655,0.68,1600,3.82
"1026","065060","지엔코",569,-10,-1.73,"KOSDAQ","섬유·의류",55766577036,NA,NA,NA,NA,546,1.04,0,0
"1027","065130","탑엔지니어링",6010,-80,-1.31,"KOSDAQ","기계·장비",96017304570,NA,NA,NA,NA,12349,0.49,0,0
"1028","065150","엠피대산",562,-6,-1.06,"KOSDAQ","유통",70408711610,104,5.4,NA,NA,323,1.74,0,0
"1029","065170","비엘팜텍",921,-11,-1.18,"KOSDAQ","유통",81941884839,NA,NA,NA,NA,657,1.4,0,0
"1030","065350","신성델타테크",11900,0,0,"KOSDAQ","일반전기전자",327058981200,908,13.11,NA,NA,5594,2.13,120,1.01
"1031","065370","위세아이텍",11200,-150,-1.32,"KOSDAQ","출판·매체복제",73649788800,680,16.47,NA,NA,4171,2.69,150,1.34
"1032","065450","빅텍",5990,-50,-0.83,"KOSDAQ","의료·정밀기기",171630272000,184,32.55,NA,NA,2034,2.94,30,0.5
"1033","065500","오리엔트정공",1900,10,0.53,"KOSDAQ","운송장비·부품",60311532800,NA,NA,NA,NA,1359,1.4,0,0
"1034","065510","휴비츠",10650,-100,-0.93,"KOSDAQ","의료·정밀기기",126552576150,848,12.56,1750,6.08,8297,1.28,200,1.88
"1035","065530","와이어블",2925,-80,-2.66,"KOSDAQ","통신서비스",154615500000,54,54.17,NA,NA,1579,1.85,50,1.71
"1036","065560","녹원씨엔아이",5770,0,0,"KOSDAQ","출판·매체복제",134210921250,NA,NA,NA,NA,2064,2.8,0,0
"1037","065570","삼영이엔씨",7260,30,0.41,"KOSDAQ","통신장비",78364512600,65,111.69,NA,NA,7370,0.99,0,0
"1038","065650","메디프론",1720,-20,-1.15,"KOSDAQ","유통",75019449480,NA,NA,NA,NA,970,1.77,0,0
"1039","065660","안트로젠",22450,-1000,-4.26,"KOSDAQ","유통",218469323850,NA,NA,NA,NA,12404,1.81,0,0
"1040","065680","우주일렉트로",21200,0,0,"KOSDAQ","IT부품",210605464000,2005,10.57,NA,NA,25889,0.82,400,1.89
"1041","065690","파커스",2750,-30,-1.08,"KOSDAQ","IT부품",38635660250,650,4.23,NA,NA,6036,0.46,150,5.45
"1042","065710","서호전기",18900,-200,-1.05,"KOSDAQ","일반전기전자",9.7335e+10,3381,5.59,NA,NA,16649,1.14,1000,5.29
"1043","065770","CS",2200,-75,-3.3,"KOSDAQ","통신장비",42704486000,NA,NA,NA,NA,1099,2,0,0
"1044","065950","웰크론",3590,-40,-1.1,"KOSDAQ","섬유·의류",101350374180,289,12.42,NA,NA,2823,1.27,50,1.39
"1045","066310","큐에스아이",12450,-250,-1.97,"KOSDAQ","반도체",115431681450,185,67.3,NA,NA,7980,1.56,100,0.8
"1046","066360","체리부로",1210,-5,-0.41,"KOSDAQ","음식료·담배",56715760090,NA,NA,NA,NA,991,1.22,0,0
"1047","066410","버킷스튜디오",3155,30,0.96,"KOSDAQ","통신서비스",232121303755,1217,2.59,NA,NA,2485,1.27,0,0
"1048","066430","와이오엠",1880,-80,-4.08,"KOSDAQ","유통",30851488080,25,75.2,NA,NA,1169,1.61,0,0
"1049","066570","LG전자",92900,-1800,-1.9,"KOSPI","전기전자",15202881920600,5725,16.23,13614,6.82,95691,0.97,850,0.91
"1050","066575","LG전자우",46000,-950,-2.02,"KOSPI","전기전자",790555632000,NA,NA,NA,NA,NA,NA,900,1.96
"1051","066590","우수AMS",3935,-40,-1.01,"KOSDAQ","운송장비·부품",144117505875,NA,NA,NA,NA,2218,1.77,0,0
"1052","066620","국보디자인",17800,-200,-1.11,"KOSDAQ","건설",1.335e+11,2843,6.26,NA,NA,33094,0.54,340,1.91
"1053","066670","디스플레이텍",6100,-100,-1.61,"KOSDAQ","IT부품",114020699800,344,17.73,NA,NA,9731,0.63,80,1.31
"1054","066700","테라젠이텍스",4840,-110,-2.22,"KOSDAQ","제약",157176265400,NA,NA,NA,NA,6958,0.7,0,0
"1055","066790","씨씨에스",518,-5,-0.96,"KOSDAQ","방송서비스",29010623670,25,20.72,NA,NA,471,1.1,0,0
"1056","066900","디에이피",3470,60,1.76,"KOSDAQ","IT부품",78923425410,463,7.49,NA,NA,6501,0.53,0,0
"1057","066910","손오공",2210,5,0.23,"KOSDAQ","유통",59440515810,126,17.54,NA,NA,965,2.29,0,0
"1058","066970","엘앤에프",244200,-800,-0.33,"KOSDAQ","IT부품",8774012227200,NA,NA,7558,32.31,19899,12.27,0,0
"1059","067000","조이시티",5080,-90,-1.74,"KOSDAQ","디지털컨텐츠",348049794120,104,48.85,194,26.15,1423,3.57,0,0
"1060","067010","이씨에스",4165,-85,-2,"KOSDAQ","정보기기",51204510000,399,10.44,NA,NA,3944,1.06,130,3.12
"1061","067080","대화제약",8030,180,2.29,"KOSDAQ","제약",149491699500,127,63.23,NA,NA,4548,1.77,150,1.87
"1062","067160","아프리카TV",83500,-5100,-5.76,"KOSDAQ","소프트웨어",959813044500,6465,12.92,7722,10.81,18988,4.4,730,0.87
"1063","067170","오텍",7400,-190,-2.5,"KOSDAQ","운송장비·부품",113897877000,NA,NA,NA,NA,9973,0.74,130,1.76
"1064","067280","멀티캠퍼스",39700,-750,-1.85,"KOSDAQ","디지털컨텐츠",235293126300,3439,11.54,NA,NA,23142,1.72,600,1.51
"1065","067290","JW신약",4130,-45,-1.08,"KOSDAQ","제약",190506314810,19,217.37,NA,NA,1206,3.42,0,0
"1066","067570","엔브이에이치코리아",3700,0,0,"KOSDAQ","운송장비·부품",121451434400,480,7.71,NA,NA,4982,0.74,100,2.7
"1067","067630","HLB생명과학",14150,-500,-3.41,"KOSDAQ","기타서비스",1351297846150,NA,NA,NA,NA,2578,5.49,0,0
"1068","067730","로지시스",5820,-110,-1.85,"KOSDAQ","컴퓨터서비스",56302226040,215,27.07,NA,NA,1942,3,150,2.58
"1069","067770","세진티에스",3775,-35,-0.92,"KOSDAQ","IT부품",31697138575,346,10.91,NA,NA,5464,0.69,0,0
"1070","067830","세이브존I&C",2915,-80,-2.67,"KOSPI","유통업",119634208925,197,14.8,NA,NA,12126,0.24,30,1.03
"1071","067900","와이엔텍",10000,-200,-1.96,"KOSDAQ","기타서비스",181996590000,1281,7.81,1578,6.34,10590,0.94,0,0
"1072","067920","이글루",5680,10,0.18,"KOSDAQ","소프트웨어",62457955920,773,7.35,NA,NA,6129,0.93,160,2.82
"1073","067990","도이치모터스",8170,-160,-1.92,"KOSDAQ","유통",257155276180,1193,6.85,1478,5.53,10950,0.75,350,4.28
"1074","068050","팬엔터테인먼트",3635,-125,-3.32,"KOSDAQ","오락·문화",100667966260,148,24.56,NA,NA,2690,1.35,0,0
"1075","068240","다원시스",23150,-100,-0.43,"KOSDAQ","IT부품",802391014850,NA,NA,NA,NA,8424,2.75,50,0.22
"1076","068290","삼성출판사",27650,50,0.18,"KOSPI","서비스업",2.765e+11,316,87.5,NA,NA,18982,1.46,200,0.72
"1077","068330","일신바이오",3430,0,0,"KOSDAQ","기계·장비",151661360200,146,23.49,NA,NA,1177,2.91,7,0.2
"1078","068400","SK렌터카",8850,20,0.23,"KOSPI","서비스업",418479684000,453,19.54,1056,8.38,10651,0.83,0,0
"1079","068760","셀트리온제약",89700,-600,-0.66,"KOSDAQ","제약",3379990454100,921,97.39,NA,NA,8841,10.15,0,0
"1080","068790","DMS",5490,-130,-2.31,"KOSDAQ","기계·장비",134906104890,1354,4.05,NA,NA,10824,0.51,100,1.82
"1081","068930","디지털대성",7800,10,0.13,"KOSDAQ","기타서비스",232445764200,662,11.78,781,9.98,5502,1.42,300,3.85
"1082","068940","아이씨케이",4170,225,5.7,"KOSDAQ","정보기기",151225975740,NA,NA,NA,NA,235,17.74,0,0
"1083","069110","코스온",2630,0,0,"KOSDAQ","화학",62963935800,NA,NA,NA,NA,733,3.59,0,0
"1084","069140","누리플랜",5740,-10,-0.17,"KOSDAQ","금속",40769744820,146,39.32,NA,NA,4998,1.15,0,0
"1085","069260","TKG휴켐스",19850,-150,-0.75,"KOSPI","화학",811439971800,1972,10.07,2821,7.04,18226,1.09,1000,5.04
"1086","069330","유아이디",2260,10,0.44,"KOSDAQ","IT부품",32071865660,370,6.11,NA,NA,1260,1.79,0,0
"1087","069410","엔텔스",6030,-110,-1.79,"KOSDAQ","소프트웨어",61776288720,416,14.5,NA,NA,5287,1.14,0,0
"1088","069510","에스텍",7500,-60,-0.79,"KOSDAQ","일반전기전자",8.1825e+10,NA,NA,NA,NA,15088,0.5,0,0
"1089","069540","라이트론",4165,125,3.09,"KOSDAQ","통신장비",108548046740,NA,NA,NA,NA,2142,1.94,0,0
"1090","069620","대웅제약",182000,2500,1.39,"KOSPI","의약품",2108756650000,2241,81.21,8648,21.05,51816,3.51,600,0.33
"1091","069640","한세엠케이",3535,-70,-1.94,"KOSPI","유통업",106426484570,NA,NA,NA,NA,4295,0.82,0,0
"1092","069730","DSR제강",5280,60,1.15,"KOSPI","철강금속",7.6032e+10,529,9.98,NA,NA,10683,0.49,40,0.76
"1093","069920","아이에스이커머스",7950,-70,-0.87,"KOSDAQ","유통",205319577900,1135,7,NA,NA,2637,3.01,0,0
"1094","069960","현대백화점",66600,200,0.3,"KOSPI","유통업",1558602570600,8652,7.7,11128,5.98,202283,0.33,1100,1.65
"1095","070300","엑스큐어",3115,-35,-1.11,"KOSDAQ","소프트웨어",22945320510,153,20.36,NA,NA,3193,0.98,0,0
"1096","070590","한솔인티큐브",1935,-35,-1.78,"KOSDAQ","컴퓨터서비스",26856873135,24,80.63,NA,NA,1931,1,0,0
"1097","070960","용평리조트",4030,-80,-1.95,"KOSPI","서비스업",193977331990,180,22.39,NA,NA,8025,0.5,0,0
"1098","071055","한국금융지주우",55900,-300,-0.53,"KOSPI","기타금융",327476230900,NA,NA,NA,NA,NA,NA,6212,11.11
"1099","071200","인피니트헬스케어",5960,-140,-2.3,"KOSDAQ","소프트웨어",145402889680,929,6.42,NA,NA,4662,1.28,0,0
"1100","071280","로체시스템즈",6420,70,1.1,"KOSDAQ","반도체",98204191260,634,10.13,NA,NA,5602,1.15,20,0.31
"1101","071320","지역난방공사",33050,-50,-0.15,"KOSPI","전기가스업",382677489200,1399,23.62,NA,NA,157459,0.21,797,2.41
"1102","071460","위니아",2545,-40,-1.55,"KOSDAQ","일반전기전자",91536765775,185,13.76,NA,NA,2245,1.13,0,0
"1103","071670","에이테크솔루션",13000,-150,-1.14,"KOSDAQ","기계·장비",1.3e+11,557,23.34,NA,NA,7878,1.65,0,0
"1104","071840","롯데하이마트",16650,-200,-1.19,"KOSPI","유통업",393068404800,NA,NA,1182,14.09,78984,0.21,1000,6.01
"1105","071850","캐스텍코리아",2065,-30,-1.43,"KOSDAQ","운송장비·부품",34215373220,NA,NA,NA,NA,5845,0.35,0,0
"1106","071950","코아스",998,1,0.1,"KOSPI","기타제조업",30845395580,NA,NA,NA,NA,607,1.64,0,0
"1107","072020","중앙백신",12650,0,0,"KOSDAQ","제약",1.25994e+11,772,16.39,NA,NA,9528,1.33,100,0.79
"1108","072130","유엔젤",3400,-35,-1.02,"KOSPI","서비스업",44864543600,1271,2.68,NA,NA,4368,0.78,0,0
"1109","072470","우리산업홀딩스",5540,-70,-1.25,"KOSDAQ","운송장비·부품",104635869140,52,106.54,NA,NA,6946,0.8,35,0.63
"1110","072520","제넨바이오",2215,0,0,"KOSDAQ","유통",95482689435,NA,NA,NA,NA,2270,0.98,0,0
"1111","072710","농심홀딩스",67900,-200,-0.29,"KOSPI","기타금융",314905941000,10581,6.42,NA,NA,223666,0.3,2000,2.95
"1112","072770","율호",1585,60,3.93,"KOSDAQ","소프트웨어",86413000155,49,32.35,NA,NA,956,1.66,0,0
"1113","072870","메가스터디",11200,-100,-0.88,"KOSDAQ","출판·매체복제",133514740800,2145,5.22,NA,NA,25244,0.44,600,5.36
"1114","072950","빛샘전자",7100,-60,-0.84,"KOSDAQ","반도체",44239098900,676,10.5,NA,NA,10695,0.66,100,1.41
"1115","072990","에이치시티",10700,-750,-6.55,"KOSDAQ","기타서비스",75665242600,1521,7.03,1984,5.39,9896,1.08,70,0.65
"1116","073010","케이에스피",2100,85,4.22,"KOSDAQ","기계·장비",76003739700,63,33.33,NA,NA,726,2.89,0,0
"1117","073110","엘엠에스",8060,-140,-1.71,"KOSDAQ","IT부품",71699785300,319,25.27,NA,NA,16133,0.5,200,2.48
"1118","073190","듀오백",2700,30,1.12,"KOSDAQ","기타제조",32313708000,NA,NA,NA,NA,2193,1.23,0,0
"1119","073240","금호타이어",3710,-75,-1.98,"KOSPI","화학",1065735664770,NA,NA,NA,NA,4083,0.91,0,0
"1120","073490","이노와이어리스",29300,-650,-2.17,"KOSDAQ","통신장비",197410039200,2250,13.02,2675,10.95,17602,1.66,250,0.85
"1121","073540","에프알텍",3120,0,0,"KOSDAQ","통신장비",3.5568e+10,20,156,NA,NA,3875,0.81,0,0
"1122","073560","우리손에프앤지",1965,-15,-0.76,"KOSDAQ","음식료·담배",136051968495,399,4.92,NA,NA,3343,0.59,50,2.54
"1123","073570","WI",916,-7,-0.76,"KOSDAQ","기타제조",74108863668,NA,NA,NA,NA,392,2.34,0,0
"1124","073640","테라사이언스",1720,-30,-1.71,"KOSDAQ","금속",141432113560,NA,NA,NA,NA,665,2.59,0,0
"1125","074610","이엔플러스",3170,0,0,"KOSPI","기계",183038874900,NA,NA,NA,NA,1405,2.26,0,0
"1126","075130","플랜티넷",2945,-50,-1.67,"KOSDAQ","컴퓨터서비스",48952732400,424,6.95,NA,NA,4936,0.6,200,6.79
"1127","075180","새론오토모티브",4920,-10,-0.2,"KOSPI","운수장비",9.4464e+10,730,6.74,NA,NA,12416,0.4,140,2.85
"1128","075580","세진중공업",7530,260,3.58,"KOSPI","운수장비",428076403680,297,25.35,467,16.13,2983,2.52,150,1.99
"1129","075970","동국알앤에스",4170,-95,-2.23,"KOSDAQ","비금속",7.6728e+10,161,25.9,NA,NA,4197,0.99,80,1.92
"1130","076610","해성옵틱스",767,-21,-2.66,"KOSDAQ","IT부품",89914484998,NA,NA,NA,NA,434,1.77,0,0
"1131","077360","덕산하이메탈",6920,-280,-3.89,"KOSDAQ","일반전기전자",314424053840,751,9.21,980,7.06,6137,1.13,0,0
"1132","077500","유니퀘스트",9030,-240,-2.59,"KOSPI","유통업",246961244250,2342,3.86,NA,NA,11339,0.8,300,3.32
"1133","077970","STX엔진",15950,750,4.93,"KOSPI","기계",366992018800,2,7975,NA,NA,10271,1.55,0,0
"1134","078000","텔코웨어",9760,20,0.21,"KOSPI","서비스업",94698410560,322,30.31,NA,NA,19441,0.5,500,5.12
"1135","078020","이베스트투자증권",6720,0,0,"KOSDAQ","금융",372833596800,3047,2.21,NA,NA,13709,0.49,600,8.93
"1136","078070","유비쿼스홀딩스",16300,-250,-1.51,"KOSDAQ","금융",304755036400,1214,13.43,NA,NA,13634,1.2,350,2.15
"1137","078140","대봉엘에스",8520,140,1.67,"KOSDAQ","제약",94457653080,619,13.76,NA,NA,9993,0.85,50,0.59
"1138","078150","HB테크놀러지",2000,-20,-0.99,"KOSDAQ","기계·장비",157980852000,151,13.25,NA,NA,2364,0.85,20,1
"1139","078160","메디포스트",21200,-200,-0.93,"KOSDAQ","제약",344800912800,NA,NA,NA,NA,9878,2.15,0,0
"1140","078350","한양디지텍",13850,-50,-0.36,"KOSDAQ","반도체",211134690700,1693,8.18,NA,NA,5630,2.46,0,0
"1141","078520","에이블씨엔씨",5230,-90,-1.69,"KOSPI","화학",141384990570,NA,NA,NA,NA,4373,1.2,0,0
"1142","078590","디아크",2380,0,0,"KOSDAQ","운송장비·부품",316556560040,NA,NA,NA,NA,201,11.84,0,0
"1143","078650","지나인제약",2120,0,0,"KOSDAQ","의료·정밀기기",8647007240,NA,NA,NA,NA,NA,NA,0,0
"1144","078860","아이오케이",739,-9,-1.2,"KOSDAQ","오락·문화",69553527160,NA,NA,NA,NA,1624,0.46,0,0
"1145","078890","가온미디어",8250,-120,-1.43,"KOSDAQ","통신장비",133283378250,1391,5.93,NA,NA,11854,0.7,100,1.21
"1146","078930","GS",41750,400,0.97,"KOSPI","기타금융",3879217031500,15304,2.73,16849,2.48,108672,0.38,2000,4.79
"1147","078935","GS우",34700,400,1.17,"KOSPI","기타금융",61933462200,NA,NA,NA,NA,NA,NA,2050,5.91
"1148","078940","코드네이처",1450,-30,-2.03,"KOSDAQ","건설",55978510050,NA,NA,NA,NA,448,3.24,0,0
"1149","079000","와토스코리아",6510,0,0,"KOSDAQ","화학",4.6872e+10,197,33.05,NA,NA,10279,0.63,200,3.07
"1150","079160","CJ CGV",21200,-250,-1.17,"KOSPI","서비스업",866456571600,NA,NA,NA,NA,5520,3.84,0,0
"1151","079170","한창산업",8410,-80,-0.94,"KOSDAQ","금속",4.3732e+10,768,10.95,NA,NA,10891,0.77,190,2.26
"1152","079190","케스피온",1400,15,1.08,"KOSDAQ","통신장비",44497875800,NA,NA,NA,NA,763,1.83,0,0
"1153","079370","제우스",22250,50,0.23,"KOSDAQ","기계·장비",2.31044e+11,1581,14.07,NA,NA,24845,0.9,100,0.45
"1154","079430","현대리바트",11400,0,0,"KOSPI","기타제조업",234102214800,671,16.99,NA,NA,24314,0.47,100,0.88
"1155","079650","서산",2190,-35,-1.57,"KOSDAQ","비금속",4.38e+10,197,11.12,NA,NA,3352,0.65,0,0
"1156","079810","디이엔티",8030,240,3.08,"KOSDAQ","기계·장비",119280053090,62,129.52,551,14.57,1711,4.69,0,0
"1157","079940","가비아",12100,-150,-1.22,"KOSDAQ","인터넷",163781776400,898,13.47,NA,NA,7620,1.59,70,0.58
"1158","079950","인베니아",2095,-30,-1.41,"KOSDAQ","기계·장비",4.8604e+10,561,3.73,NA,NA,2443,0.86,0,0
"1159","079960","동양이엔피",14750,-350,-2.32,"KOSDAQ","IT부품",1.15935e+11,2253,6.55,NA,NA,33409,0.44,300,2.03
"1160","079970","투비소프트",965,6,0.63,"KOSDAQ","소프트웨어",42651958765,NA,NA,NA,NA,816,1.18,0,0
"1161","079980","휴비스",6330,-120,-1.86,"KOSPI","화학",2.18385e+11,111,57.03,NA,NA,14188,0.45,300,4.74
"1162","080000","에스엔유",2990,-75,-2.45,"KOSDAQ","기계·장비",102625381300,248,12.06,NA,NA,3767,0.79,0,0
"1163","080010","이상네트웍스",5690,-10,-0.18,"KOSDAQ","인터넷",5.69e+10,655,8.69,NA,NA,10695,0.53,100,1.76
"1164","080160","모두투어",15750,-150,-0.94,"KOSDAQ","기타서비스",2.97675e+11,1012,15.56,396,39.75,4007,3.93,0,0
"1165","080220","제주반도체",4760,-120,-2.46,"KOSDAQ","반도체",163947885080,368,12.93,NA,NA,3477,1.37,0,0
"1166","080420","모다이노칩",3400,-40,-1.16,"KOSDAQ","IT부품",271053514800,144,23.61,NA,NA,4454,0.76,0,0
"1167","080470","성창오토텍",7440,-20,-0.27,"KOSDAQ","운송장비·부품",5.4312e+10,528,14.09,NA,NA,5639,1.32,60,0.81
"1168","080520","오디텍",5570,-40,-0.71,"KOSDAQ","반도체",65428612130,377,14.77,NA,NA,11727,0.47,100,1.8
"1169","080530","코디",1540,-15,-0.96,"KOSDAQ","화학",43568598920,NA,NA,NA,NA,1304,1.18,0,0
"1170","080580","오킨스전자",20000,-150,-0.74,"KOSDAQ","반도체",353585960000,108,185.19,NA,NA,2010,9.95,0,0
"1171","080720","한국유니온제약",8040,-200,-2.43,"KOSDAQ","제약",63545973120,NA,NA,NA,NA,6925,1.16,0,0
"1172","081000","일진다이아",21900,-250,-1.13,"KOSPI","화학",311045152500,598,36.62,NA,NA,28934,0.76,400,1.83
"1173","081150","티플랙스",4775,15,0.32,"KOSDAQ","금속",115881619550,430,11.1,NA,NA,5970,0.8,30,0.63
"1174","081580","성우전자",3010,-20,-0.66,"KOSDAQ","IT부품",46679510430,350,8.6,NA,NA,6986,0.43,0,0
"1175","082210","옵트론텍",5590,-140,-2.44,"KOSDAQ","IT부품",136865252550,NA,NA,326,17.15,4354,1.28,0,0
"1176","082270","젬백스",14650,-350,-2.33,"KOSDAQ","기계·장비",583258442950,304,48.19,NA,NA,3880,3.78,0,0
"1177","082640","동양생명",5490,20,0.37,"KOSPI","보험",885858631650,1768,3.11,1239,4.43,19530,0.28,620,11.29
"1178","082660","코스나인",1005,-20,-1.95,"KOSDAQ","화학",49977978660,NA,NA,NA,NA,501,2.01,0,0
"1179","082800","비보존 헬스케어",1005,7,0.7,"KOSDAQ","반도체",235212840135,NA,NA,NA,NA,501,2.01,0,0
"1180","082850","우리바이오",3745,-80,-2.09,"KOSDAQ","일반전기전자",179428859610,750,4.99,NA,NA,3387,1.11,0,0
"1181","082920","비츠로셀",13450,50,0.37,"KOSDAQ","IT부품",289701594400,796,16.9,1147,11.73,7827,1.72,150,1.12
"1182","083420","그린케미칼",8940,-240,-2.61,"KOSPI","화학",2.1456e+11,683,13.09,NA,NA,5290,1.69,220,2.46
"1183","083450","GST",21050,-900,-4.1,"KOSDAQ","반도체",196138532250,4292,4.9,5153,4.08,16558,1.27,300,1.43
"1184","083470","이엠앤아이",3220,0,0,"KOSDAQ","IT부품",59340149960,NA,NA,NA,NA,440,7.32,0,0
"1185","083500","에프엔에스테크",9140,-340,-3.59,"KOSDAQ","기계·장비",77605199080,194,47.11,NA,NA,7257,1.26,50,0.55
"1186","083550","케이엠",7370,-230,-3.03,"KOSDAQ","섬유·의류",82924409920,722,10.21,NA,NA,12084,0.61,70,0.95
"1187","083650","비에이치아이",8150,480,6.26,"KOSDAQ","기계·장비",2.119e+11,NA,NA,583,13.97,2475,3.29,0,0
"1188","083660","CSA 코스믹",1450,0,0,"KOSDAQ","화학",57204229850,NA,NA,NA,NA,390,3.72,0,0
"1189","083790","크리스탈지노믹스",4045,-105,-2.53,"KOSDAQ","기타서비스",280102035870,NA,NA,NA,NA,3072,1.32,0,0
"1190","083930","아바코",11650,50,0.43,"KOSDAQ","기계·장비",179559096700,942,12.37,NA,NA,11746,0.99,300,2.58
"1191","084010","대한제강",16100,550,3.54,"KOSPI","철강금속",396812417400,6563,2.45,6885,2.34,30114,0.53,400,2.48
"1192","084110","휴온스글로벌",22600,-750,-3.21,"KOSDAQ","제약",285245719200,322,70.19,NA,NA,43390,0.52,500,2.21
"1193","084180","EV수성",1390,0,0,"KOSDAQ","기계·장비",85473292030,NA,NA,NA,NA,579,2.4,0,0
"1194","084370","유진테크",28300,-1400,-4.71,"KOSDAQ","반도체",648523988600,2694,10.5,4222,6.7,13091,2.16,270,0.95
"1195","084670","동양고속",16450,0,0,"KOSPI","운수창고업",47632110050,NA,NA,NA,NA,32252,0.51,0,0
"1196","084680","이월드",1990,-5,-0.25,"KOSPI","기타제조업",282194324070,NA,NA,NA,NA,1689,1.18,0,0
"1197","084690","대상홀딩스",8870,20,0.23,"KOSPI","기타금융",321205212060,1450,6.12,NA,NA,19055,0.47,240,2.71
"1198","084695","대상홀딩스우",10300,-50,-0.48,"KOSPI","기타금융",9408864600,NA,NA,NA,NA,NA,NA,250,2.43
"1199","084730","팅크웨어",17000,300,1.8,"KOSDAQ","통신장비",177236594000,691,24.6,NA,NA,14014,1.21,0,0
"1200","084850","아이티엠반도체",33900,-700,-2.02,"KOSDAQ","반도체",768781962600,275,123.27,2096,16.18,11585,2.93,200,0.59
"1201","084870","TBH글로벌",1985,-55,-2.7,"KOSPI","섬유의복",41400785715,NA,NA,NA,NA,2622,0.76,0,0
"1202","084990","헬릭스미스",17850,-600,-3.25,"KOSDAQ","기타서비스",672754469100,NA,NA,NA,NA,5986,2.98,0,0
"1203","085310","엔케이",970,7,0.73,"KOSPI","기계",77583851440,142,6.83,NA,NA,1302,0.75,0,0
"1204","085370","루트로닉",20500,150,0.74,"KOSDAQ","의료·정밀기기",540020368500,1096,18.7,1606,12.76,4715,4.35,192,0.94
"1205","08537M","루트로닉3우C",28800,-50,-0.17,"KOSDAQ","의료·정밀기기",6546240000,NA,NA,NA,NA,NA,NA,302,1.05
"1206","085660","차바이오텍",16500,-250,-1.49,"KOSDAQ","제약",928427247000,NA,NA,NA,NA,8106,2.04,0,0
"1207","085670","뉴프렉스",5060,-170,-3.25,"KOSDAQ","IT부품",122501350180,105,48.19,767,6.6,2107,2.4,0,0
"1208","085810","알티캐스트",1725,-20,-1.15,"KOSDAQ","소프트웨어",51207951525,NA,NA,NA,NA,2291,0.75,0,0
"1209","085910","네오티스",5440,90,1.68,"KOSDAQ","운송장비·부품",75228225920,497,10.95,NA,NA,4159,1.31,250,4.6
"1210","086040","바이오톡스텍",8390,-170,-1.99,"KOSDAQ","기타서비스",123057161970,487,17.23,NA,NA,2811,2.98,0,0
"1211","086060","진바이오텍",4935,-15,-0.3,"KOSDAQ","유통",42493246845,NA,NA,NA,NA,5104,0.97,0,0
"1212","086280","현대글로비스",178000,-500,-0.28,"KOSPI","운수창고업",6.675e+12,20877,8.53,32200,5.53,154732,1.15,3800,2.13
"1213","086390","유니테스트",18650,-450,-2.36,"KOSDAQ","반도체",394151449900,NA,NA,527,35.4,7422,2.51,0,0
"1214","086450","동국제약",19500,-350,-1.76,"KOSDAQ","제약",8.6697e+11,1146,17.02,1542,12.64,10165,1.92,180,0.92
"1215","086670","비엠티",16000,900,5.96,"KOSDAQ","기계·장비",130344464000,707,22.63,NA,NA,9941,1.61,150,0.94
"1216","086710","선진뷰티사이언스",6530,90,1.4,"KOSDAQ","화학",79687418400,99,65.96,NA,NA,3825,1.71,20,0.31
"1217","086790","하나금융지주",39400,-50,-0.13,"KOSPI","기타금융",11658596954400,11819,3.33,12527,3.15,117363,0.34,3100,7.87
"1218","086820","바이오솔루션",15250,-500,-3.17,"KOSDAQ","제약",124187246500,NA,NA,NA,NA,5635,2.71,0,0
"1219","086890","이수앱지스",8200,-150,-1.8,"KOSDAQ","제약",272097877600,26,315.38,NA,NA,2168,3.78,0,0
"1220","086900","메디톡스",107400,-3800,-3.42,"KOSDAQ","제약",704122240200,15377,6.98,3517,30.53,60506,1.78,0,0
"1221","086960","한컴MDS",17100,-350,-2.01,"KOSDAQ","소프트웨어",152063596800,NA,NA,NA,NA,13588,1.26,0,0
"1222","086980","쇼박스",5050,-60,-1.17,"KOSDAQ","오락·문화",316321900000,36,140.28,NA,NA,2198,2.3,0,0
"1223","087010","펩트론",9310,-200,-2.1,"KOSDAQ","제약",192036001430,NA,NA,NA,NA,3020,3.08,0,0
"1224","087260","모바일어플라이언스",3385,-25,-0.73,"KOSDAQ","소프트웨어",110191434485,77,43.96,NA,NA,1347,2.51,0,0
"1225","087600","픽셀플러스",8080,-150,-1.82,"KOSDAQ","반도체",65985788640,588,13.74,NA,NA,13240,0.61,0,0
"1226","088130","동아엘텍",7460,50,0.67,"KOSDAQ","기계·장비",79545517480,432,17.27,NA,NA,17545,0.43,150,2.01
"1227","088290","이원컴포텍",9030,-50,-0.55,"KOSDAQ","운송장비·부품",207946154010,NA,NA,NA,NA,2163,4.17,0,0
"1228","088350","한화생명",2325,0,0,"KOSPI","보험",2019332250000,1455,1.6,514,4.52,15004,0.15,0,0
"1229","088390","이녹스",25100,-200,-0.79,"KOSDAQ","운송장비·부품",235584684400,5877,4.27,NA,NA,21267,1.18,0,0
"1230","088790","진도",3455,25,0.73,"KOSPI","유통업",43006955520,287,12.04,NA,NA,8077,0.43,40,1.16
