"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"390","010170","대한광통신",3190,55,1.75,"KOSDAQ","일반전기전자",235235783750,NA,NA,NA,NA,1401,2.28,0,0
"391","010240","흥국",7040,10,0.14,"KOSDAQ","기계·장비",86751779840,1027,6.85,NA,NA,7439,0.95,200,2.84
"392","010280","쌍용정보통신",1055,-15,-1.4,"KOSDAQ","컴퓨터서비스",67482055870,NA,NA,NA,NA,699,1.51,0,0
"393","010400","우진아이엔에스",6660,30,0.45,"KOSPI","건설업",50762520000,NA,NA,NA,NA,14448,0.46,100,1.5
"394","010420","한솔PNS",1670,10,0.6,"KOSPI","유통업",34223330040,169,9.88,NA,NA,2273,0.73,25,1.5
"395","010470","오리콤",6480,60,0.93,"KOSDAQ","기타서비스",77598324000,533,12.16,NA,NA,8366,0.77,220,3.4
"396","010580","에스엠벡셀",1530,0,0,"KOSPI","운수장비",170215192800,NA,NA,NA,NA,494,3.1,0,0
"397","010600","웰바이오텍",1710,-20,-1.16,"KOSPI","유통업",113598897840,NA,NA,NA,NA,559,3.06,0,0
"398","010620","현대미포조선",108500,1500,1.4,"KOSPI","운수장비",4333723166500,NA,NA,3064,35.41,54249,2,0,0
"399","010640","진양폴리",6310,50,0.8,"KOSPI","화학",6.31e+10,380,16.61,NA,NA,2947,2.14,175,2.77
"400","010660","화천기계",3225,60,1.9,"KOSPI","기계",7.095e+10,272,11.86,NA,NA,6354,0.51,10,0.31
"401","010690","화신",9850,-100,-1.01,"KOSPI","운수장비",343966038500,741,13.29,1669,5.9,8760,1.12,70,0.71
"402","010770","평화홀딩스",3655,-140,-3.69,"KOSPI","운수장비",53456078230,NA,NA,NA,NA,6351,0.58,150,4.1
