"","gradu2015","skilled2015","service2015","manu2015","enov2015","young2015","V7","V8"
"57",0.342027562,0.113434118,0.342288294,0.174438705,0.046245831,0.84,1.03859853448672,0.895450213443
"58",0.290968953,0.101299137,0.338598439,0.137262875,0.039081682,0.83,0.976557088854482,0.843203389849
"59",0.355745452,0.145793171,0.350260012,0.248966685,0.060354383,0.89,1.1316493268245,0.973405141926
"60",0.171362742,0.073345174,0.212734508,0.140250142,0.025810119,0.7,0.752744167148874,0.647680784879
"61",0.194832899,0.076884333,0.248390872,0.173200702,0.032266154,0.75,0.83513323760613,0.718420244193
"62",0.245761787,0.070213197,0.232398328,0.089615817,0.024111879,0.73,0.799073022066747,0.689334404404
"63",0.199807772,0.082592455,0.240645763,0.38413568,0.027246765,0.84,1.00151461901819,0.855034293304
"64",0.281426671,0.065846358,0.226535342,0.112029917,0.02433372,0.7,0.808570864474838,0.696661685886
"65",0.220454717,0.089644233,0.251279547,0.327075601,0.032252393,0.83,0.985795994749894,0.843427556118
"66",0.199618148,0.091343014,0.315966387,0.093083387,0.020361991,0.74,0.824569568995404,0.713489122259
"67",0.277965966,0.100499088,0.266339231,0.277390188,0.039013228,0.86,1.02518150332113,0.8789827363
"68",0.365634923,0.135829491,0.355057493,0.299578212,0.051436323,0.91,1.17484162908638,1.009169590302
"69",0.312438941,0.108045309,0.330292545,0.12836075,0.03819181,0.79,0.956459613076794,0.825960489617
"70",0.206649749,0.091164754,0.291181235,0.094451925,0.03500966,0.79,0.852304619177312,0.736545372838
"71",0.340382606,0.12656758,0.288448625,0.369331516,0.038899046,0.89,1.1462197569347,0.980816870958
"72",0.267803197,0.110572597,0.267427673,0.209683475,0.039325184,0.84,0.97451796682683,0.837452313615
"73",0.252956877,0.082694615,0.265761917,0.134556421,0.031750021,0.78,0.879214448130431,0.7577590051
"74",0.486284415,0.125452555,0.360334202,0.072173501,0.050426641,0.91,1.13010063436864,0.977201754196
"75",0.224498525,0.087295977,0.260187866,0.236001654,0.034312046,0.84,0.952008060360976,0.817236596737
"76",0.272557669,0.088683202,0.22567469,0.142377826,0.023851204,0.74,0.849988818181431,0.731328260226
"77",0.194915544,0.081250927,0.212408799,0.091502551,0.026249383,0.71,0.750198459119153,0.646833294642
"78",0.203839828,0.077495233,0.246235331,0.121231004,0.030602001,0.69,0.77382679537544,0.667211864458
"79",0.154013803,0.075190701,0.171883346,0.106505715,0.026599722,0.69,0.699558852144691,0.601867456029
"80",0.289541747,0.113104317,0.271816276,0.10494798,0.040648439,0.78,0.897867907546031,0.77473066484
"81",0.229995927,0.084311475,0.250192282,0.161222458,0.029475637,0.74,0.845802151771199,0.727930252068
"82",0.202280763,0.069344156,0.261148477,0.031311818,0.029192336,0.74,0.764072615964013,0.661780277796
"83",0.450450088,0.157485429,0.418416293,0.118272885,0.076762225,0.88,1.15306865713307,0.997271359106
"84",0.326147245,0.095458358,0.328015719,0.229182536,0.041531057,0.85,1.05154051695561,0.904633874525
"85",0.341284748,0.106996619,0.331768794,0.209263016,0.046094942,0.84,1.04932537998502,0.903383892951
"86",0.22481531,0.083897195,0.256460524,0.133131349,0.036852215,0.76,0.845361481960986,0.728518539878
"87",0.230112159,0.093367006,0.272107144,0.071937233,0.032283051,0.76,0.826289877997469,0.714303959143
"88",0.214123213,0.074776351,0.232458476,0.110282744,0.028984405,0.72,0.786241563764335,0.677775052784
"89",0.335558207,0.121427102,0.28271345,0.188280702,0.055532164,0.81,0.997286131376161,0.857957166934
"90",0.171028429,0.051953919,0.159877209,0.079150419,0.024475234,0.69,0.683766386968717,0.588734650347
"91",0.188945253,0.071546215,0.254957291,0.046217206,0.015787065,0.7,0.733229289603363,0.634739504708
"92",0.190213102,0.071679702,0.164515867,0.060628196,0.026945865,0.71,0.706267515421956,0.608671517621
"93",0.17962277,0.045584368,0.191419612,0.077109464,0.021094641,0.68,0.694379789952172,0.598773380907
"94",0.180322345,0.059246364,0.186537798,0.083258543,0.024301001,0.7,0.71251216566591,0.614019998875
"95",0.193487781,0.078163206,0.210165167,0.049963794,0.031481673,0.71,0.727037446110681,0.628064542317
"96",0.196559005,0.069476147,0.252165899,0.067870968,0.026986175,0.71,0.755322035044509,0.653002494866
"97",0.308513919,0.123118528,0.386114171,0.17536785,0.051194036,0.87,1.06275994470906,0.917407370492
"98",0.239519262,0.101402315,0.33129195,0.174726046,0.046176082,0.84,0.969164038795084,0.835649424219
